Delay,Bandwidth,Source IP address,Destination IP address,date_year,date_month_no,date_day,hour,min,sec
0.072302,1506,27,18,2022,8,9,14,17,48
0,1506,27,18,2022,8,9,14,17,48
0,1506,27,18,2022,8,9,14,17,48
0,1506,27,18,2022,8,9,14,17,48
0.000216,54,18,27,2022,8,9,14,17,48
0.000226,400,27,18,2022,8,9,14,17,48
0.138769,66,88,18,2022,8,9,14,17,48
9.50E-05,54,18,89,2022,8,9,14,17,48
0.00055,582,18,89,2022,8,9,14,17,48
0.00763,219,18,27,2022,8,9,14,17,48
0.068551,105,27,18,2022,8,9,14,17,48
0.00146,1494,18,27,2022,8,9,14,17,48
0,260,18,27,2022,8,9,14,17,48
0.000626,1494,18,27,2022,8,9,14,17,48
0,155,18,27,2022,8,9,14,17,48
0.129725,54,88,18,2022,8,9,14,17,48
0.001636,1506,88,18,2022,8,9,14,17,48
0.002347,1506,88,18,2022,8,9,14,17,48
7.70E-05,54,18,89,2022,8,9,14,17,48
0.000461,1506,88,18,2022,8,9,14,17,48
0.000572,1075,88,18,2022,8,9,14,17,48
7.50E-05,54,18,89,2022,8,9,14,17,48
0.00121,180,18,89,2022,8,9,14,17,48
0.000328,153,18,89,2022,8,9,14,17,48
0.000313,379,18,89,2022,8,9,14,17,48
0.000102,830,18,89,2022,8,9,14,17,48
0.059503,60,27,18,2022,8,9,14,17,48
0.000866,60,27,18,2022,8,9,14,17,48
0.011006,1506,27,18,2022,8,9,14,17,48
0.000272,721,27,18,2022,8,9,14,17,48
7.10E-05,54,18,27,2022,8,9,14,17,48
0.013155,1494,18,27,2022,8,9,14,17,48
0,247,18,27,2022,8,9,14,17,48
49.33784,620,82,61,2022,8,9,14,17,48
0.013101,74,57,83,2022,8,9,14,17,48
0.065959,60,27,18,2022,8,9,14,17,48
0.129641,328,88,18,2022,8,9,14,17,48
0,123,88,18,2022,8,9,14,17,48
0,60,88,18,2022,8,9,14,17,48
0,92,88,18,2022,8,9,14,17,48
0.000147,54,18,89,2022,8,9,14,17,48
0.000101,426,88,18,2022,8,9,14,17,48
3.90E-05,54,18,89,2022,8,9,14,17,48
0.000931,92,18,89,2022,8,9,14,17,48
0.078452,1506,57,83,2022,8,9,14,17,48
0,317,57,83,2022,8,9,14,17,48
0.000147,74,82,61,2022,8,9,14,17,48
0.000178,112,57,83,2022,8,9,14,17,48
7.00E-05,74,82,61,2022,8,9,14,17,48
0.129183,544,27,18,2022,8,9,14,17,49
0.119347,569,82,61,2022,8,9,14,17,49
0.046237,54,18,27,2022,8,9,14,17,49
0.012794,74,57,83,2022,8,9,14,17,49
0.177044,60,88,18,2022,8,9,14,17,49
