,Delay,Date,Time,Source IP address,Destination IP address,Bandwidth,date_year,date_month_no,date_day,hour,min,sec
211,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1344,2022,8,9,14,16,28
212,0.000192,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
213,0.000833,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
214,8.7e-05,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
215,0.011652,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
216,0.000122,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
217,0.004841,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
218,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
219,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
220,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
221,0.000178,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
222,0.004984,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
223,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
224,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
225,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
226,0.000176,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
227,0.004828,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
228,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
229,0.0,2022-08-09,2022-08-29 14:16:28,57,83,74,2022,8,9,14,16,28
230,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
231,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
232,0.000191,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
233,0.002875,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
234,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
235,0.000119,2022-08-09,2022-08-29 14:16:28,82,61,74,2022,8,9,14,16,28
236,0.009486,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
237,0.0,2022-08-09,2022-08-29 14:16:28,57,83,1506,2022,8,9,14,16,28
